song_name,artist_name
Sweater Weather,The Neighbourhood
HOMESICK,Mico
Harukamirai,Kankaku Pierrot
Strong,Aaron Kwok
Alright,Kendrick Lamar
Skeletons,Travis Scott
The Hills,The Weeknd
Infinite Jest,Will Pacquin
Deja Vu,Olivia Rodrigo
Supercut,Lorde
Get Free,Lana Del Rey
Lauren,Men I Trust
Where Have You Been,Rihanna
MASSIVE,Drake
Poster Boy,Lyn Lapid
Ma Meilleure Ennemie,Stromae
Nude,Radiohead
From The Start,Laufey
Someone Like You,Adele
What Lovers Do,Maroon 5
Billie Jean,Michael Jackson
Faded,Alan Walker
Ode to the Mets,The Strokes
Ma Meilleure Ennemie,Stromae
Twistin'  the Night Away,Sam Cooke
rescue,Strings and heart
Talk to Me,Damino David
As it was,Harry Styles
Brazil,Declan Mckenna
Let Down,Radiohead
All Right,Men I Trust
Here Comes the Sun,The Beatles
Bonfire,Childish Gambino
cant slow down,almost Monday
redbone ,Childish Gambino
That's so True,Gracie Abrams
Heart of the City,Jay Z
vampire,Olivia Rodrigo
Sweater Weather,The Neighbourhood
California Love,Tupac
